id,title,requirements
1,Senior Data Scientist,"Qualifications: PhD in Computer Science, Statistics or related field; 5+ years experience in machine learning and AI. Technical Skills: Expert in Python, R, and SQL; deep learning frameworks (TensorFlow, PyTorch); distributed computing (Spark); cloud platforms (AWS/GCP). Responsibilities: Lead ML projects end-to-end; develop novel algorithms; mentor junior data scientists. Work Environment: Hybrid role, international team collaboration."
2,Full Stack Software Engineer,"Qualifications: BS in Computer Science; 3+ years full-stack development. Technical Skills: Java, Spring Boot, Node.js, React/Angular, MongoDB, PostgreSQL, RESTful APIs, microservices architecture, Docker, Kubernetes, AWS. Responsibilities: Design and implement scalable applications; collaborate with product and design teams. Work Environment: Agile environment, flexible hours."
3,Technical Product Manager,"Qualifications: BS/MS in Computer Science or Business; 4+ years product management experience. Skills: Strong technical background; excellent communication and leadership; data-driven decision making; agile methodologies. Responsibilities: Define product strategy; work with stakeholders; prioritize roadmap. Environment: Fast-paced startup culture."
4,Senior UX/UI Designer,"Qualifications: BFA in Design or related field; 5+ years UX/UI experience. Skills: Expert in Figma, Adobe Creative Suite; prototyping tools; user research methods; accessibility standards. Responsibilities: Lead design system development; conduct user research; create wireframes and prototypes. Environment: Design-centric company, collaborative workspace."
5,Machine Learning Engineer,"Qualifications: MS/PhD in Computer Science; 3+ years ML engineering experience. Skills: Python, TensorFlow, PyTorch, MLOps, distributed systems, cloud platforms. Responsibilities: Deploy ML models to production; optimize model performance; develop ML infrastructure. Environment: Research-focused team, remote-friendly."
6,Cloud Solutions Architect,"Qualifications: BS in Computer Science; AWS/Azure certifications; 6+ years cloud experience. Skills: Cloud architecture patterns, infrastructure as code, security best practices, cost optimization. Responsibilities: Design cloud solutions; mentor teams; ensure scalability. Environment: Enterprise setting, client-facing role."
7,Cybersecurity Analyst,"Qualifications: BS in Cybersecurity; CISSP certification; 4+ years security experience. Skills: Threat detection, incident response, security tools, penetration testing. Responsibilities: Monitor security systems; investigate incidents; implement security measures. Environment: 24/7 SOC, rotating shifts."
8,Data Engineering Manager,"Qualifications: MS in Computer Science; 7+ years data engineering; 3+ years management. Skills: Big data technologies, ETL pipelines, data warehousing, team leadership. Responsibilities: Lead data engineering team; architect data solutions; set technical direction. Environment: Large tech company, hybrid work model."
9,Mobile App Developer,"Qualifications: BS in Software Engineering; 4+ years mobile development. Skills: Swift, Kotlin, React Native, mobile UI/UX, app store deployment. Responsibilities: Develop native mobile apps; implement new features; optimize performance. Environment: Product-focused company, flexible schedule."
10,DevOps Team Lead,"Qualifications: BS in Computer Science; 6+ years DevOps experience. Skills: CI/CD, containerization, infrastructure automation, monitoring tools. Responsibilities: Lead DevOps initiatives; implement best practices; manage deployments. Environment: Remote-first company, global team."
11,Blockchain Developer,"Qualifications: BS in Computer Science; 3+ years blockchain experience. Skills: Solidity, Web3.js, smart contracts, DApp development, cryptography. Responsibilities: Develop blockchain solutions; implement smart contracts; ensure security. Environment: Cryptocurrency startup, flexible location."
12,Enterprise Architect,"Qualifications: MS in Computer Science; 10+ years IT experience; architecture certifications. Skills: Enterprise architecture frameworks, system integration, technical leadership. Responsibilities: Define technology strategy; govern architecture decisions; lead transformation initiatives. Environment: Large corporation, strategic role."
